subject,predicate,object
Тролль_Troll,type,NamedIndividual
Чистокровный_Юан-ти_Yuan-ti_Pureblood,hasLanguage,Бездны
Сатир_Satyr,hasRank,1/2
Лемур_Lemure,hasCon,11
Грифон_Griffon,hasArmor,12
Ультролот_Ultroloth,hasImmunityToState,Испуганный
Молодой_Серебряный_Дракон_Young_Silver_Dragon,hasType,Дракон
Василиск_Basilisk,type,Enemy
Арканалот_Arcanaloth,type,NamedIndividual
Гигантский_гриф_Giant_Vulture,hasCon,15
Горгулья_Gargoyle,hasWis,11
Слон_Elephant,type,Enemy
Молодой_Красный_Дракон_Тень_Young_Red_Shadow_Dragon,hasRank,13
Бехир_Behir,hasLocation,Горы
Фейский_ДраконСиний_Faerie_Dragon_Indigo,hasType,Дракон
Рой_воронов_Swarm_of_Ravens,hasImmunityToState,Окаменевший
Серая_слизь_Gray_Ooze,hasImmunityToState,Ослеплённый
Культист_Cultist,type,NamedIndividual
Костяной_Naga_Дух_Bone_Naga_Spirit,type,NamedIndividual
Наблюдатель_Spectator,type,NamedIndividual
Маг_Mage,hasWorldview,Истинно_нейтральный
Мантия_Cloaker,hasLocation,Пустыня
hasWorldview,type,ObjectProperty
Василиск_Basilisk,hasCha,7
Теневой_демон_Shadow_Demon,hasImmunityToState,Схваченный
Огонек_Will-o'-Wisp,hasResistanceToDamage,Дробящий
Рух_Roc,hasType,Монстр
Гиена_Hyena,hasWis,12
Циклоп_Cyclops,hasCha,10
Грифон_Griffon,hasType,Монстр
Юан-ти_Форма_проклятия_1_Yuan-ti_Malison_Type_1,hasType,Монстр
Пикси_Pixie,hasRank,1/4
Тень_Shadow,hasImmunityToState,Испуганный
Гигантская_крыса_Giant_Rat,hasCha,4
Саламандра_Salamander,hasStr,18
Бандит_Thug,hasCha,11
Цепной_Дьявол_Chain_Devil,type,NamedIndividual
Гигантская_лягушка_Giant_Frog,hasWis,10
Виноградная_зараза_Vine_Blight,hasInt,5
Дух_Wraith,hasResistanceToDamage,Электрический
Чистокровный_Юан-ти_Yuan-ti_Pureblood,hasLanguage,Драконий
Дроу_Drow,hasWis,11
Гигантский_крокодил_Giant_Crocodile,hasSize,Огромный
Фея_Sprite,hasSize,Крошечный
Невидимый,type,States
Рой_летучих_мышей_Swarm_of_Bats,hasHp,22
Куазит_Quasit,hasLanguage,Бездны
Пылевой_мефит_Dust_Mephit,hasArmor,12
Древний_Синий_Дракон_Ancient_Blue_Dragon,hasRank,23
Камбион_Cambion,hasResistanceToDamage,Рубящий
Взрослый_Бронзовый_Дракон_Adult_Bronze_Dragon,hasType,Дракон
Волк-оборотень_Werewolf,hasWorldview,Хаотичный_злой
Черный_Дракон_Вирм_Black_Dragon_Wyrmling,hasHp,33
Элементаль,comment,"Элементали — это воплощения стихий, которые составляют вселенную: воздух, земля, огонь и вода. Являясь чуть более, чем живой энергией на своих родных планах существования, они могут быть призваны заклинателями и могущественными существами, чтобы принять определённую форму и исполнять поручения."
Серая_слизь_Gray_Ooze,hasResistanceToDamage,Огненный
Вампир_Vampire,hasCon,18
Гнолл_хозяин_стаи_гнолл_Pack_Lord,hasWis,11
